biogroup_id,sample_count,sequencing_types,study_sources,cell_type,treatment,timepoint,tissue,is_cross_modal,is_cross_study,genotype
86fa1df0,8,"RNA-seq,Ribo-seq",639554,unknown,30 minutes iaa,unknown,whole seedling,True,False,heinz 1706
fdb85e08,8,"RNA-seq,Ribo-seq",639554,unknown,30 minutes mock,unknown,whole seedling,True,False,heinz 1706
a2eb66d9,8,"RNA-seq,Ribo-seq",639554,unknown,15 minutes iaa,unknown,whole seedling,True,False,heinz 1706
9e627c36,8,"RNA-seq,Ribo-seq",639554,unknown,1 hour iaa,unknown,whole seedling,True,False,heinz 1706
5f3794cb,8,"RNA-seq,Ribo-seq",639554,unknown,15 minutes mock,unknown,whole seedling,True,False,heinz 1706
f8df9cb2,8,RNA-seq,634994,glial,control,unknown,hippocampus,False,False,cd (sprague dawley) igs rat
36596035,8,RNA-seq,634994,unknown,unknown,unknown,ca1 somata,False,False,wfs1cre::ribotag
e67e6874,8,RNA-seq,634994,unknown,unknown,unknown,ca1 neuropil,False,False,wfs1cre::ribotag
ee602709,8,RNA-seq,630973,unknown,control (untreated),unknown,bacterial culture,False,False,bl21
44fc57c7,8,RNA-seq,630973,unknown,apidaecin,unknown,bacterial culture,False,False,bl21
8002db20,8,RNA-seq,630709,mef expressing sv40 t,unknown,unknown,mef wt,False,False,mettl1-wt/wdr4
6a435df2,8,RNA-seq,630709,mef expressing sv40 t,unknown,unknown,mef wt,False,False,empty vector
d52b1713,8,"RNA-seq,Ribo-seq",627881,unknown,unknown,unknown,hek293t,True,False,znf598-null
94c4157f,8,"RNA-seq,Ribo-seq",627881,unknown,unknown,unknown,hek293t,True,False,wild type
bc43c688,8,Ribo-seq,606888,unknown,unknown,unknown,none,False,False,shixiya-1
53d93b5d,8,RNA-seq,604580,h1 es cells,unknown,unknown,unmodified hescs were differentiated to the pp2 stage. rna from nuclear and cytosolic fractions was isolated.,False,False,h1 es cells
e4861dfb,8,RNA-seq,604580,h1 es cells,unknown,unknown,rp11-834c11.4 ko hescs were differentiated to the pp2 stage,False,False,h1 es cells
7cdb85b8,8,"RNA-seq,Ribo-seq",603355,mesc,unknown,unknown,embryonic stem cell,True,False,mettl5 ko
4d91526d,8,"RNA-seq,Ribo-seq",603355,mesc,unknown,unknown,embryonic stem cell,True,False,wt
7510c538,8,Ribo-seq,598453,unknown,unknown,3 hours,culture grown in m9 minimal medium,False,False,bw25113_<delta>rsfs
9fe1ac40,8,Ribo-seq,598453,unknown,unknown,3 hours,culture grown in m9 minimal medium,False,False,bw25113
deb66487,8,"RNA-seq,Ribo-seq",589466,flp-in t-rex 293 cell,unknown,unknown,mir-122 expressing cells,True,False,flp-in t-rex 293 cell
fcfece30,8,"RNA-seq,Ribo-seq",589466,flp-in t-rex 293 cell,unknown,unknown,mir-1 expressing cells,True,False,flp-in t-rex 293 cell
4d9b0ed2,8,"RNA-seq,Ribo-seq",589466,flp-in t-rex 293 cell,unknown,unknown,empty vector control,True,False,flp-in t-rex 293 cell
5b9c05d0,8,RNA-seq,561206,unknown,unknown,unknown,aml12 cell line,False,False,eef2 kd
b9963a32,8,RNA-seq,561206,unknown,unknown,unknown,aml12 cell line,False,False,control
e7940a6b,8,RNA-seq,549205,unknown,unknown,unknown,ips cardio myocyte,False,False,unknown
aaac57df,8,"RNA-seq,Ribo-seq",548154,unknown,unknown,unknown,whole body,True,False,wja0815
74cfd502,8,"RNA-seq,Ribo-seq",543399,unknown,tac surgery 2w,unknown,left ventricle,True,False,c57bl/6
a95d27da,8,RNA-seq,541924,ne4c,unknown,unknown,ne4c_trim71ko_exp1_rep3,False,False,crl-2925
5d1a9001,8,RNA-seq,541924,ne4c,unknown,unknown,ne4c_trim71ko_exp1_rep2,False,False,crl-2925
d35bff64,8,RNA-seq,541924,ne4c,unknown,unknown,ne4c_trim71ko_exp1_rep1,False,False,crl-2925
322f87b6,8,RNA-seq,541924,ne4c,unknown,unknown,ne4c_wt_exp1_rep3,False,False,crl-2925
6f07b5ee,8,RNA-seq,541924,ne4c,unknown,unknown,ne4c_wt_exp1_rep2,False,False,crl-2925
c8a0f1a1,8,RNA-seq,541924,ne4c,unknown,unknown,ne4c_wt_exp1_rep1,False,False,crl-2925
9986fc6f,8,RNA-seq,541924,mesc,unknown,unknown,mesc_trim71ko_lif_exp1_rep1,False,False,(129xc57bl/6)
4fdd0774,8,RNA-seq,541924,mesc,unknown,unknown,mesc_wt_lif_exp1_rep1,False,False,(129xc57bl/6)
f595cbd0,8,RNA-seq,540869,unknown,unknown,unknown,monoisolate,False,False,vpi-5482
8a5865b6,8,RNA-seq,515538,hek293t,thapsigargin,unknown,hek293t (human embryonic kidney),False,False,hek293t
fe22a0d9,8,RNA-seq,515538,hek293t,tunicamycin,unknown,hek293t (human embryonic kidney),False,False,hek293t
c2724002,8,RNA-seq,515538,hek293t,dmso,unknown,hek293t (human embryonic kidney),False,False,hek293t
b35b184a,8,"RNA-seq,Ribo-seq",511455,unknown,unknown,unknown,epididymal,True,False,hur knockout
e5e77dc0,8,RNA-seq,511455,unknown,unknown,unknown,epididymal,False,False,control
3c71279d,8,"RNA-seq,Ribo-seq",509065,unknown,unknown,unknown,whole organism,True,False,pd2558
6aa62e5e,8,"RNA-seq,Ribo-seq",509065,unknown,unknown,unknown,whole organism,True,False,pd5998
7d3e72aa,8,"RNA-seq,Ribo-seq",509065,unknown,unknown,unknown,whole organism,True,False,pd1074
4bc50711,8,RNA-seq,509065,unknown,unknown,unknown,whole organism,False,False,pd3323/pd2186
71fee649,8,"RNA-seq,Ribo-seq",507085,unknown,unknown,unknown,e. coli strain bw25113 in m9 minimal medium,True,False,bw25113
7acf6ee5,8,RNA-seq,489275,unknown,unknown,unknown,wild-type strain,False,False,sq171
705f305a,8,RNA-seq,489275,unknown,unknown,unknown,wild-type strain with pribo-t plasmid cured of plasmid carrying wt rrna,False,False,sq171 (+pribo-t)
3c578c7b,8,"RNA-seq,Ribo-seq","480786,480788",fibroblasts,si-eif1a (x+18) transfection,unknown,mouse embryonic fibroblasts,True,True,unknown
ff83674a,8,"RNA-seq,Ribo-seq","480786,480788",fibroblasts,si-negative control transfection,unknown,mouse embryonic fibroblasts,True,True,unknown
4bff4c03,8,Ribo-seq,478730,vero e6,unknown,24,unknown,False,False,vero e6
4b5f9255,8,"RNA-seq,Ribo-seq",477865,unknown,rnai against unc-54 (bja40),unknown,unknown,True,False,pd 2860
