biogroup_id,sample_count,sequencing_types,study_sources,cell_type,treatment,timepoint,tissue,is_cross_modal,is_cross_study,genotype
95bdd8f2,1150,"RNA-seq,Ribo-seq","848829,812862,604168,1263619,379447,1187475,417116,1103142,903814,1083195,704712,445453,473812,877653,1270455,630973,299045,1129445,858256,1191647,459526,769126,670552,768399,649449,504034,414611,271437,1244127,299048,297039,1245068,512491,1204289,1136820,750636,702160,430558,1113147,706468,970317,470579,873584,1123824,821340,541924,951511,954953,792575,563539,173092,1124923,852547,327113,784790,1113713,902621,412617,1116213,773909,794153,478760,782500,729811,510796,1028779,715464,1284240,602407,1121290,716630,342301,296059,989871,1083527,676082,718868,358815,971919,1007580,1121289,1136550,925168,779948,756018,697913,575406,1083196,780148,514710,1113597,676161,396456,1129072,1090696,734658,471907,615808,926487,1202056,1122518,480786,659038,1054207,978023,490682,182756,1194520,779283,1116206,275185,770523,473808,1145378,941525,347980,478730,471667,1058247,634332,415033,926112,389599,978085,371312,1060294,906951,419532,391171,419768,633140,1263618,838490,813625,803443,765951,400151,1120398,774895,615002,770962,1144916,776890,412874,400150,1122590,656190,940452,295955,396698,379448,515538,676083,603355,531262,1028780,744888,753845,1124388,601135,506724,416661,990710,1158872,649426,604169,801130,743831,890855,692108,1158871,1083472,1050581,1008576,606888,1238387,297338,1069085,1112384,1074219,303186,948060,548813,755296,255669,480788,1132552,918384,779461,926087,822292,541324,484227,1282489,978024,397543,1110494,862448,549629,816171,403993,760922,278390,738263,645135,1114884,1114693,1205218,817730,768456,876935,615003,972712,473925,321057,385767,1084474,694918,397035,954956,751084,938481",unknown,unknown,unknown,unknown,True,True,unknown
ae81e028,270,RNA-seq,792575,unknown,unknown,4 weeks,nucleus accumbens,False,False,unknown
3c547605,260,RNA-seq,"484227,412617,549205",unknown,unknown,unknown,left ventricle,False,True,c57bl/6
641840bd,168,"RNA-seq,Ribo-seq","1287737,548813,296059,1190589,926487,1136820,509424,926112,230574,605114,655835",,unknown,unknown,,True,True,
defdc782,164,Ribo-seq,941525,unknown,unknown,unknown,kidney,False,False,wild type genotype
e1f60a0d,144,RNA-seq,792575,unknown,unknown,48 hours,nucleus accumbens,False,False,unknown
e196d377,132,RNA-seq,"947524,947523,947527,947526",kucg-2 hipsc,wt,unknown,kucg-2 hipsc,False,True,kucg-2 hipsc
14c1cdb7,132,"RNA-seq,Ribo-seq",667075,unknown,unknown,unknown,aproximately a third of leaves 2 and 3 from leaf tips,True,False,b73
c04f4a2e,112,Ribo-seq,"1162540,575406",unknown,unknown,unknown,liver,False,True,unknown
aaa95386,108,"RNA-seq,Ribo-seq",1152441,unknown,unknown,unknown,unknown,True,False,sf370
0e336ae3,106,RNA-seq,275185,unknown,unknown,unknown,testis,False,False,c57b6
9f3b6060,104,RNA-seq,697913,unknown,unknown,unknown,oocyte,False,False,wt
270fd587,104,Ribo-seq,575406,unknown,unknown,unknown,testis,False,False,unknown
cd111a94,102,"RNA-seq,Ribo-seq","998462,998463,998459,946781,998460,998461,998457",imr90,unknown,unknown,imr90,True,True,imr90
8d800046,102,RNA-seq,926087,unknown,unknown,unknown,rnase-protected-fragment,False,False,unknown
fabd7fce,100,"RNA-seq,Ribo-seq",1099224,whole organism,cells (epimastigote stage) in nutritional stress for two hours,unknown,whole organism,True,False,dm28c
a74ba7f3,100,"RNA-seq,Ribo-seq",1099224,whole organism,cells (epimastigote stage) in exponential growth conditions,unknown,whole organism,True,False,dm28c
0c29f43e,96,"RNA-seq,Ribo-seq",760922,unknown,unknown,unknown,neural tube,True,False,c3heb/eif3cxs-j/+
aab86c6d,96,"RNA-seq,Ribo-seq",760922,unknown,unknown,unknown,neural tube,True,False,c3heb
546ea377,90,"RNA-seq,Ribo-seq","1116213,541324",hek293t,unknown,unknown,human embryonic kidney,True,True,hek293t
596d4b33,90,"RNA-seq,Ribo-seq",1051101,hek293t,unknown,unknown,cell line,True,False,hek293t
dc4a9faa,90,RNA-seq,"789243,789247",unknown,unknown,unknown,testis,False,True,c57bl/6j
f233e6dc,88,RNA-seq,838490,unknown,unknown,unknown,e11.5 neocortex,False,False,c57bl/6j
9eb967c5,88,RNA-seq,604580,h1 es cells,unknown,unknown,unmodified hescs were differentiated to the pp2 stage,False,False,h1 es cells
cb735023,88,RNA-seq,504034,unknown,unknown,unknown,ovary,False,False,cho
7b705bd2,80,"RNA-seq,Ribo-seq","774895,898352",mda-mb-231,unknown,unknown,breast cancer cell line,True,True,mda-mb-231
12dc32fc,76,"RNA-seq,Ribo-seq",885130,na,na,unknown,whole organism,True,False,na
74a72a7c,72,"RNA-seq,Ribo-seq",1113713,unknown,unknown,unknown,unknown,True,False,guangxi partridge chicken
38761eed,72,Ribo-seq,"890855,725741",unknown,unknown,unknown,whole organism,False,True,wild type genotype
0d2ff8a8,72,"RNA-seq,Ribo-seq",661558,mefs (mouse embryonic fibroblasts),unknown,unknown,mouse embryonic fibroblasts cells,True,False,c57bl/6j
3e40b959,72,Ribo-seq,575406,unknown,unknown,unknown,brain,False,False,unknown
3cdc83ca,70,RNA-seq,701262,cell line,unknown,unknown,hela cells,False,False,unknown
c091583e,70,RNA-seq,648398,cd4+ t cells,unknown,unknown,activated cd4+ t cells,False,False,c57bl/6
d31b81a3,66,RNA-seq,701262,oocyte,unknown,unknown,xenopus laevis stage vi oocyte,False,False,unknown
43c025b9,64,RNA-seq,"1071161,1071174,1071162,1071171",u-2os,thapsigargin for 2 hours,unknown,bone,False,True,u-2os
e5a4ccb8,64,RNA-seq,"1071161,1071174,1071162,1071171",u-2os,dmso for 2 hours,unknown,bone,False,True,u-2os
ba96de6a,64,RNA-seq,1049048,unknown,bacterial cells,unknown,strain 168,False,False,strain 168
8083bfac,64,"RNA-seq,Ribo-seq","729812,729871,728841",unknown,unknown,unknown,axenic culture,True,True,cs3005
8d319526,60,RNA-seq,1035318,human dermal fibroblasts,unknown,unknown,human dermal fibroblasts,False,False,human dermal fibroblasts
3298cbe2,60,"RNA-seq,Ribo-seq",951511,e14,unknown,unknown,inner-cell mass,True,False,12910la
2b4c1f1c,60,RNA-seq,697913,unknown,unknown,unknown,preimplantation embryo,False,False,wt
e9ff4db0,58,RNA-seq,1035318,human umbilical vein endothelial cells,unknown,unknown,human umbilical vein endothelial cells,False,False,human umbilical vein endothelial cells
881c13d2,58,"RNA-seq,Ribo-seq",779461,hct116,"cells were treated with 100µg/ml cycloheximide for 10min and then lysed in polysome lysis buffer. after centrifugation, 100 µl cell lysates were used to extract rna with trizol. then 5~10 µg rna was used to purify mrnas with oligo dt beads. the purified mrnas were used for rna-seq library preparation.",unknown,human colorectal carcinoma cell line,True,False,hct116
9c95025e,58,"RNA-seq,Ribo-seq",473812,e14tg2a,"nf-ya sirna (invitrogen, mss247473)",unknown,mouse embryonic stem cells (escs),True,False,e14tg2a
de84b03c,56,RNA-seq,1270455,unknown,unknown,unknown,heart,False,False,unknown
abddc18a,56,"RNA-seq,Ribo-seq",821340,unknown,unknown,unknown,not collected,True,False,not collected
df7d2b0f,56,RNA-seq,748842,unknown,unknown,unknown,unknown,False,False,c57bl/6
cdb1471b,56,"RNA-seq,Ribo-seq",473812,e14tg2a,"non-targeting control sirna (dharmacon, d- 001810-02-50)",unknown,mouse embryonic stem cells (escs),True,False,e14tg2a
eaf0607a,54,RNA-seq,885130,hek293t,"100um 4su fed for 24h, then washed out for chase over 8h",unknown,hek293t,False,False,hek293t
9541f807,54,RNA-seq,"182756,196335",bj cells,unknown,unknown,immortalized primary fibroblasts,False,True,bj cells
6f2fbaf8,52,RNA-seq,770523,patient-derived glioma stem cell,unknown,unknown,glioma stem cells,False,False,patient-derived glioma stem cell
b5dd74c0,52,RNA-seq,512491,hek293t,unknown,unknown,hek293t,False,False,pus10 -/-
b63e7817,52,RNA-seq,512491,hek293t,unknown,unknown,hek293t,False,False,wt
46eff2c7,50,RNA-seq,734953,breast cancer cell line,unknown,unknown,4t07,False,False,breast cancer cell line
115cd6af,48,"RNA-seq,Ribo-seq",1185761,mouse embryonic fibroblasts,unknown,unknown,unknown,True,False,unknown
96a9a7d9,48,"RNA-seq,Ribo-seq",1090696,unknown,unknown,unknown,whole shoot,True,False,unknown
7f995152,48,RNA-seq,1047524,sw480,induced (doxycicline),unknown,colon,False,False,sw480
d9dc684a,48,RNA-seq,1047524,sw480,uninduced (dmso),unknown,colon,False,False,sw480
70235c4b,48,RNA-seq,932465,unknown,unknown,unknown,shanghai,False,False,unknown
271e1777,48,"RNA-seq,Ribo-seq","918680,918681",unknown,none,none,lung,True,True,"b6.cg-tg(k18-ace2)2prlmn/j (the jackson laboratory, #034860)"
7f282863,48,"RNA-seq,Ribo-seq","530508,750456,734658",mouse embryonic fibroblasts,unknown,unknown,mouse embryonic fibroblasts,True,True,c57bl/6j
fc2515c2,48,RNA-seq,732080,unknown,unknown,unknown,young adult,False,False,unknown
7962f543,48,RNA-seq,672952,20 hour activated cd4 t cells,unknown,unknown,20 hour activated cd4 t cells,False,False,rnmt fl/fl cd4cre -
bc650688,48,RNA-seq,672952,20 hour activated cd4 t cells,unknown,unknown,20 hour activated cd4 t cells,False,False,rnmt fl/fl cd4cre +
1f84d11e,48,RNA-seq,635830,lovo atcc ccl-229,unknown,unknown,unknown,False,False,lovo atcc ccl-229
dc00b646,48,RNA-seq,"398285,395723",mouse embryonic fibroblast,unknown,unknown,mammalian cells,False,True,c57bl/6j
d5531f4d,48,RNA-seq,255669,unknown,unknown,unknown,cultured cell suspension,False,False,by4741
f8af4a0c,46,"RNA-seq,Ribo-seq",1173087,melstr,unknown,unknown,melstr,True,False,melstr
c89b09ed,46,RNA-seq,"396698,680357",unknown,unknown,unknown,hela cells,False,True,wt
9afee0ea,46,RNA-seq,605444,unknown,unknown,unknown,u2392 cell line,False,False,unknown
da54f045,46,"RNA-seq,Ribo-seq","598362,598359",p19,unknown,unknown,p19,True,True,p19
9dba1883,46,RNA-seq,504034,unknown,unknown,unknown,hamster tissue,False,False,tissue
55d96928,44,RNA-seq,1270452,embryonic fibroblast,unknown,unknown,unknown,False,False,cnot1 ko
84929ffc,44,"RNA-seq,Ribo-seq",1173087,melst,unknown,unknown,melst,True,False,melst
86b36e9c,44,"RNA-seq,Ribo-seq","262909,689830,1035983,994860",unknown,unknown,unknown,missing,True,True,missing
858f340f,44,"RNA-seq,Ribo-seq",509230,unknown,unknown,unknown,skin fibroblasts,True,False,unknown
01d8f788,44,"CAGE,RNA-seq",486172,unknown,unknown,unknown,cell culture,True,False,ma-4680
77e9daa7,42,RNA-seq,488955,primary basophilic erythroblasts,unknown,unknown,fetal liver,False,False,c57bl/6
ccca5a27,40,RNA-seq,1270452,embryonic fibroblast,unknown,unknown,unknown,False,False,wt
49c12d65,40,"RNA-seq,Ribo-seq","1243989,1244127",h98,2mm h2o2,unknown,h98,True,True,h98
fd9b5068,40,RNA-seq,"1083099,1004312,948060",unknown,unknown,unknown,leaf,False,True,unknown
3a8d01cf,40,RNA-seq,"1046396,1046391",k-562,none,unknown,k-562,False,True,k-562
493f8be3,40,RNA-seq,"756023,756018",fibroblast,il11 stimulated,unknown,il11 treated normal human fibroblast,False,True,unknown
f5c62d6e,40,RNA-seq,"756023,756018",fibroblast,untreated,unknown,untreated normal human fibroblast,False,True,unknown
b4442a41,40,RNA-seq,717060,5-8f,unknown,unknown,nasopharyngeal carcinoma 5-8f cells,False,False,5-8f
315facbf,40,RNA-seq,668372,unknown,unknown,unknown,ribosomes from yeast cells,False,False,w303-1a (atcc: 208352)
c846a670,40,RNA-seq,667952,hek293,unknown,unknown,human embryonic kidney cells,False,False,unknown
b79caf1d,40,RNA-seq,633140,mesc j1,unknown,unknown,embryonic stem cells,False,False,mesc j1
f2f09469,40,"RNA-seq,Ribo-seq",630259,unknown,unknown,unknown,cc125,True,False,cc125
d17f8b39,40,RNA-seq,445453,unknown,unknown,unknown,cell,False,False,unknown
fc306ded,40,"RNA-seq,Ribo-seq",297039,e14 esc,unknown,unknown,embryonic stem cells (escs),True,False,e14 esc
0b48ee1d,38,RNA-seq,1099224,whole organism,cells fully differentiated to metacyclic trypomastigotes,unknown,whole organism,False,False,dm28c
865f1831,38,"RNA-seq,Ribo-seq",1074219,unknown,unknown,unknown,pan troglodytes,True,False,unknown
62f0b757,38,"RNA-seq,Ribo-seq","400150,505061,400151,1012978",unknown,unknown,unknown,unknown,True,True,wild type genotype
61f98825,38,RNA-seq,605444,unknown,unknown,unknown,mutu cell line,False,False,unknown
6275cd65,36,RNA-seq,1204289,mouse fibrosarcoma tc1 cells,unknown,unknown,mouse fibrosarcoma tc1 cells,False,False,mouse fibrosarcoma tc1 cells
e8dda884,36,RNA-seq,"396698,680357",unknown,unknown,unknown,hela cells,False,True,nat10-/-
1cb8160b,36,RNA-seq,674211,h9c2,unknown,unknown,heart,False,False,h9c2
76a004ae,36,RNA-seq,669814,cultured human cord blood-derived cd34+ cells,unknown,unknown,cd42 positive megakaryocytes,False,False,unknown
f35ff63e,36,RNA-seq,669814,cultured human cord blood-derived cd34+ cells,unknown,unknown,cd42 negative megakaryocytes,False,False,unknown
e41ae165,36,RNA-seq,667952,hek-tth cells stably expressing fused er:hrasg12v,unknown,unknown,human embryonic kidney cells,False,False,unknown
269dd9a3,36,RNA-seq,648109,unknown,unknown,unknown,cerebral cortex,False,False,c57bl/6
bf6cd859,36,"RNA-seq,Ribo-seq","611610,611609",striatal,unknown,unknown,striatal cells,True,True,c57bl/6
30c11ef6,36,RNA-seq,511473,unknown,unknown,unknown,9-day-old seedlings,False,False,col-0
c182fdac,36,"RNA-seq,Ribo-seq",412874,unknown,unknown,unknown,yeast,True,False,zyh2
fef36e70,36,"RNA-seq,Ribo-seq",385767,acute myeloid leukemia,unknown,unknown,molm13 ribosome-depleted rna,True,False,unknown
7ca67598,34,"RNA-seq,Ribo-seq",1074219,unknown,unknown,unknown,macaca mulatta,True,False,unknown
522cd7df,34,RNA-seq,852784,mv4_11,48 hour treatment with 100 nm c16,unknown,mv4_11,False,False,mv4_11
de01d8ca,34,Ribo-seq,779461,hct116,cells were treated with 100µg/ml cycloheximide for 10min and then were used for ribo-seq.,unknown,human colorectal carcinoma cell line,False,False,hct116
27f44870,34,RNA-seq,770523,patient-derived glioma stem cell,unknown,unknown,glioma stem cells,False,False,unknown
f1e56c4a,34,RNA-seq,"768456,769126",unknown,unknown,unknown,yeast cell,False,True,wt
9a374783,34,"RNA-seq,Ribo-seq",676161,unknown,200 ng/ml doxycycline 96 hours,unknown,lncap cell line,True,False,unknown
fd6198b7,32,Ribo-seq,1282489,unknown,harringtonine (2µg/ml),30 minutes,preimplantation embryo,False,False,c57/bl6
bd27aff8,32,"RNA-seq,Ribo-seq","1170270,1135124",unknown,unknown,unknown,testis,True,True,c57bl/6
9c084f82,32,RNA-seq,"1071981,1020634,1022765,1019929",unknown,unknown,unknown,testis,False,True,mouse
a2f643e3,32,RNA-seq,990964,unknown,unknown,unknown,shoots,False,False,unknown
eba2aa07,32,RNA-seq,990964,unknown,unknown,unknown,roots,False,False,unknown
153028fa,32,RNA-seq,945876,fungal cells,unknown,unknown,fungal cells,False,False,unknown
8690d104,32,Ribo-seq,891450,unknown,air or 10 μl/l of ethylene for 4 h,unknown,total,False,False,nipponbare
ee77c07b,32,RNA-seq,830657,unknown,unknown,unknown,heart,False,False,c57bl/6n
5695586d,32,RNA-seq,"545844,817730",unknown,unknown,unknown,not collected,False,True,japanica
ce3a60d6,32,"RNA-seq,Ribo-seq","806946,806948",h1299,fur,unknown,epithelial,True,True,h1299
44039ceb,32,"RNA-seq,Ribo-seq","806946,806948",h1299,g418,unknown,epithelial,True,True,h1299
82ba21e4,32,"RNA-seq,Ribo-seq","806946,806948",h1299,untreated,unknown,epithelial,True,True,h1299
44228e6f,32,RNA-seq,794846,hesc h9 (wa-09),rna,unknown,embryonic stem cells,False,False,unknown
2f91e5af,32,RNA-seq,779461,hct116,unknown,unknown,human colorectal carcinoma cell line,False,False,hct116
1bd4022e,32,"RNA-seq,Ribo-seq",744888,embryonic stem (es) cells,unknown,unknown,embryonic stem (es) cells,True,False,hybrid 129-c57bl/6
e2ce5d39,32,RNA-seq,744888,unknown,unknown,unknown,embryonic stem (es) cells,False,False,hybrid 129-c57bl/6
31f6b736,32,RNA-seq,601135,unknown,unknown,unknown,circulating tumor cell - derived cell line,False,False,unknown
697ab131,32,RNA-seq,414611,hela,dhx9 sirna,unknown,atcc cell lines,False,False,unknown
0348c238,32,RNA-seq,414611,hela,dhx36 sirna,unknown,atcc cell lines,False,False,unknown
a4caa666,32,"RNA-seq,Ribo-seq",295955,s2,cultured in conventional medium containing 10% heat-inactivated fetal bovine serum,unknown,na,True,False,oregon r
3d94c61a,30,"RNA-seq,Ribo-seq",1246569,b-cells,unknown,unknown,b-cells,True,False,rps15 +/+
e057c673,30,"RNA-seq,Ribo-seq",1246569,b-cells,unknown,unknown,b-cells,True,False,rps15-s138f/+
20bd69c7,30,"RNA-seq,Ribo-seq",676161,unknown,untreated,unknown,lncap cell line,True,False,unknown
5875bbee,30,RNA-seq,"651888,651879,651877,651883,651886,651882,651885,651881,651876,651875,651874,651878,651887,651880,651884",unknown,unknown,unknown,thymus,False,True,fisher 344
8ffc23a5,30,RNA-seq,"651888,651879,651877,651883,651886,651882,651885,651881,651876,651875,651874,651878,651887,651880,651884",unknown,unknown,unknown,missing,False,True,g1
3a9d9411,30,"RNA-seq,Ribo-seq",477865,unknown,rnai against unc-22 (bja7),unknown,unknown,True,False,pd 1074
023a7278,30,RNA-seq,351825,unknown,unknown,unknown,staphylococcus aureus,False,False,unknown
bb0c6df9,28,Ribo-seq,1297545,1/2-strength murashige-skoog medium + 2.56 mm mes buffer,unknown,unknown,thale cress,False,False,growth chamber
53940960,28,RNA-seq,1270452,embryonic fibroblast,unknown,unknown,unknown,False,False,cnot7/8 ko
107300b7,28,RNA-seq,1270452,embryonic fibroblast,unknown,unknown,unknown,False,False,cnot3 ko
9f3d5f36,28,RNA-seq,1161172,differentiated hescs,unknown,unknown,hues8,False,False,hues8
7efdbbce,28,RNA-seq,1140141,mll-af9 aml,bcaa 5+3,unknown,bone marrow,False,False,mll-af9 aml
d754c98d,28,RNA-seq,"1080486,1080485,1080500",unknown,ccl4 administration,unknown,liver,False,True,wt
e1bedaf9,28,RNA-seq,982760,hek293,oxidative stress,unknown,hek293,False,False,hek293
9f343670,28,"RNA-seq,Ribo-seq",667051,unknown,cycloheximide,24hpi,vero e6,True,False,unknown
8cc55c70,28,RNA-seq,666973,unknown,unknown,unknown,unknown,False,False,sp. pcc 6803
0c72a0ed,28,RNA-seq,649776,unknown,interferon,unknown,huh7 cells,False,False,unknown
6aac1f4d,28,RNA-seq,600267,hek 293t,12 h chikv infection,unknown,whole cell,False,False,hek 293t
ef764fff,28,RNA-seq,414611,hela,scramble sirna,unknown,atcc cell lines,False,False,unknown
7de33076,28,RNA-seq,406823,fetus derived cell line from female human embryonic kidney,thap (2µm) for 2h,unknown,hek293 cells,False,False,unknown
b05a1f71,28,RNA-seq,406823,fetus derived cell line from female human embryonic kidney,dmso for 2h,unknown,hek293 cells,False,False,unknown
cc94da2f,26,RNA-seq,722238,unknown,unknown,unknown,tongue,False,False,c57bl/6
483aadde,24,Ribo-seq,1205218,mcf7,unknown,unknown,unknown,False,False,mcf7
0c96fb84,24,"RNA-seq,Ribo-seq",1165488,unknown,unknown,unknown,synchronized culture,True,False,21gr
be939cfb,24,"RNA-seq,Ribo-seq",1145378,derived from h1-hesc,ngn2 overexpression,unknown,derived from h1-hesc,True,False,derived from h1-hesc
47f31a47,24,RNA-seq,1136820,hek293t human embryonic kidny cells,unknown,unknown,hek293t human embryonic kidny cells,False,False,hek293t human embryonic kidny cells
802290a1,24,RNA-seq,1124388,hepg2,unknown,unknown,liver,False,False,hepg2
a87e5f5c,24,RNA-seq,1099202,h929,unknown,unknown,bone marrow,False,False,h929
79fbfd5a,24,RNA-seq,1099202,mm.1s,unknown,unknown,peripheral blood,False,False,mm.1s
740399cf,24,RNA-seq,"1080486,1080485",unknown,control,unknown,liver,False,True,wt
dca7896f,24,RNA-seq,1076517,flp-in t-rex hela,transfected with 18s:wt,unknown,flp-in t-rex hela,False,False,flp-in t-rex hela
81393363,24,"RNA-seq,Ribo-seq",1074219,unknown,unknown,unknown,homo sapiens,True,False,unknown
949872b8,24,RNA-seq,"1069987,1071172",u-2os,arsenite for 2 hours,unknown,bone,False,True,u-2os
e99e1471,24,RNA-seq,"1069987,1071172",u-2os,water for 2 hours,unknown,bone,False,True,u-2os
a50f6b4a,24,RNA-seq,1068083,primary cell,unknown,unknown,intestine,False,False,primary cell
928aecb5,24,RNA-seq,1017399,rh::tir1 parental strain,unknown,unknown,rh::tir1 parental strain,False,False,rh::tir1 parental strain
eac7a11c,24,RNA-seq,1008741,huh7,50 nm torin1 for 12 hr,unknown,huh7,False,False,huh7
f514090c,24,RNA-seq,1008741,huh7,na,unknown,huh7,False,False,huh7
17857a0e,24,RNA-seq,1007580,hela,unknown,unknown,missing,False,False,hela
2b1bea4e,24,RNA-seq,1002994,hct15,unknown,unknown,colon,False,False,hct15
987de2a5,24,RNA-seq,982760,tc1,cardiomyocyte differentiation,unknown,tc1,False,False,tc1
645f965a,24,RNA-seq,"978024,978023",hkci2 cell line,unknown,unknown,hkci2 cell line,False,True,hkci2 cell line
e5f38839,24,RNA-seq,977673,unknown,angii+si-nat10,unknown,heart ventricular tissue,False,False,angii+si-nat10
5a83c874,24,RNA-seq,977673,unknown,angii,unknown,heart ventricular tissue,False,False,angii
64e592a9,24,RNA-seq,977673,unknown,myocardial hypertrophy,unknown,heart ventricular tissue,False,False,myocardial hypertrophy
9b5a8cc9,24,RNA-seq,977673,unknown,non-myocardial hypertrophy,unknown,heart ventricular tissue,False,False,non-myocardial hypertrophy
0f11a832,24,RNA-seq,975827,unknown,unknown,unknown,ucbpp-pa14,False,False,ucbpp-pa14
c71071ca,24,RNA-seq,967039,unknown,unknown,unknown,fruit,False,False,nt-189
c524dbaf,24,RNA-seq,967039,unknown,unknown,unknown,fruit,False,False,nt-91
ec933c0a,24,"RNA-seq,Ribo-seq","918680,918681",unknown,sars-cov-2 infection,7 days post-infection,lung,True,True,"b6.cg-tg(k18-ace2)2prlmn/j (the jackson laboratory, #034860)"
978a8afc,24,"RNA-seq,Ribo-seq","918680,918681",unknown,sars-cov-2 infection,5 days post-infection,lung,True,True,"b6.cg-tg(k18-ace2)2prlmn/j (the jackson laboratory, #034860)"
26ddc3d5,24,"RNA-seq,Ribo-seq","918680,918681",unknown,sars-cov-2 infection,2 days post-infection,lung,True,True,"b6.cg-tg(k18-ace2)2prlmn/j (the jackson laboratory, #034860)"
bdc97285,24,"RNA-seq,Ribo-seq","918680,918681",unknown,sars-cov-2 infection,1 day post-infection,lung,True,True,"b6.cg-tg(k18-ace2)2prlmn/j (the jackson laboratory, #034860)"
a7cbdf2f,24,RNA-seq,876935,gm18505,sodium arsenite,unknown,gm18505,False,False,gm18505
02bd67b0,24,RNA-seq,876935,gm19204,sodium arsenite,unknown,gm19204,False,False,gm19204
0baaa486,24,RNA-seq,876935,gm19193,sodium arsenite,unknown,gm19193,False,False,gm19193
c018f175,24,RNA-seq,876935,gm18505,control,unknown,gm18505,False,False,gm18505
7065b955,24,RNA-seq,876935,gm19204,control,unknown,gm19204,False,False,gm19204
b1d90dc5,24,RNA-seq,876935,gm19193,control,unknown,gm19193,False,False,gm19193
551ae5b7,24,"RNA-seq,Ribo-seq",847982,skbr3,unknown,unknown,skbr3,True,False,skbr3
59d1f9d9,24,"RNA-seq,Ribo-seq",759858,unknown,unknown,unknown,7-day old seedlings,True,False,unknown
5bf218c7,24,RNA-seq,748842,jurkat,unknown,unknown,unknown,False,False,unknown
8b42c542,24,RNA-seq,732080,unknown,fed,unknown,young adult,False,False,unknown
5cc25963,24,RNA-seq,732080,unknown,starved,unknown,young adult,False,False,unknown
62605152,24,"RNA-seq,Ribo-seq",729811,unknown,unknown,unknown,spikelets,True,False,kennedy
414e2290,24,RNA-seq,720951,imr90,unknown,unknown,normal lung fibroblasts imr90,False,False,imr90
ec23f84a,24,RNA-seq,701262,cell line,unknown,unknown,"hct116 cells, ostir1 knock-in, aid-tagged pabpc1",False,False,unknown
7efb085a,24,RNA-seq,674211,cardiomyocyte,unknown,unknown,heart left ventricle,False,False,wild type genotype
6f8818a2,24,"RNA-seq,Ribo-seq",667051,unknown,cycloheximide,48hpi,primary human bronchial epithelial cells,True,False,unknown
52ca4319,24,"RNA-seq,Ribo-seq",667051,unknown,cycloheximide,24hpi,primary human bronchial epithelial cells,True,False,unknown
21308645,24,"RNA-seq,Ribo-seq",667051,unknown,cycloheximide,48hpi,vero e6,True,False,unknown
57c306e0,24,RNA-seq,"648998,649002",raw264.7,"4su, 40 min",unknown,raw264.7,False,True,raw264.7
076d8499,24,RNA-seq,"648998,649002",raw264.7,"4su, 20 min",unknown,raw264.7,False,True,raw264.7
33ad6239,24,Ribo-seq,624906,kh2,unknown,unknown,mouse embryonic stem cells,False,False,kh2
03526bf5,24,"RNA-seq,Ribo-seq",623612,hek293t,unknown,unknown,hek293 flp-in t-rex embryonic kidney cell line,True,False,hek293t
d2cac5cf,24,RNA-seq,600267,hek 293t,12 h mock infection,unknown,whole cell,False,False,hek 293t
1d8320c7,24,Ribo-seq,563539,hek 293,unknown,unknown,-,False,False,hek 293
2289a628,24,Ribo-seq,549629,unknown,unknown,unknown,kidney,False,False,rhode island red
119a7081,24,RNA-seq,545050,newborn erythroid cells,unknown,unknown,newborn erythroid cells,False,False,unknown
b171c536,24,RNA-seq,545050,adult erythroid cells,unknown,unknown,adult erythroid cells,False,False,unknown
ae834658,24,Ribo-seq,531262,pre-leukemic stem cell,unknown,unknown,hematopoietic system,False,False,pre-leukemic stem cell
22fe3049,24,Ribo-seq,497718,rd cell,unknown,unknown,muscle tissue,False,False,rd cell
f0206ae4,24,"RNA-seq,Ribo-seq",477865,unknown,rnai against unc-54 (bja40),unknown,unknown,True,False,pd 1074
7be0dc4f,24,RNA-seq,471907,unknown,unknown,unknown,fat body,False,False,liverpool
c505dd8b,24,RNA-seq,377088,unknown,unknown,unknown,mouse duodenum,False,False,c57bl/6
06c5c2d8,24,"RNA-seq,Ribo-seq",259844,raw 264,unknown,unknown,raw264,True,False,raw 264
cc124af1,24,RNA-seq,208993,unknown,unknown,unknown,population-whole animal,False,False,pb2801
3fcad16d,24,RNA-seq,208993,unknown,unknown,unknown,population-whole animal,False,False,pb4641
8573d190,24,RNA-seq,208993,unknown,unknown,unknown,population-whole animal,False,False,af16
c5cc8864,24,RNA-seq,208993,unknown,unknown,unknown,population-whole animal,False,False,n2
ac21ea1d,22,"RNA-seq,Ribo-seq","1243989,1244127",h98,none,unknown,h98,True,True,h98
1ab9e49e,22,RNA-seq,1194520,bacteria,unknown,unknown,bacteria,False,False,unknown
f61fd451,22,"RNA-seq,Ribo-seq",1033620,unknown,nitrogen-depletion f/2 medium,unknown,exponentially grown cells,True,False,unknown
2dd1a9da,22,"RNA-seq,Ribo-seq",1033620,unknown,normal,unknown,exponentially grown cells,True,False,unknown
7c525e43,22,RNA-seq,"1002346,906951",hap1,5 um 4su and 6 kj/m2 uva,unknown,hap1,False,True,hap1
52988fec,22,RNA-seq,986928,unknown,none,unknown,liver,False,False,wt
f9058297,22,RNA-seq,852784,mv4_11,48 hour treatment with 0.1% dmso,unknown,mv4_11,False,False,mv4_11
1bea85a6,22,RNA-seq,777454,unknown,unknown,unknown,unc-54(srf1004) c. elegans,False,False,wja1004
0fb96c5b,22,RNA-seq,777454,unknown,unknown,unknown,unc-54(srf1004); znf-598(srf2119) c. elegans,False,False,wja1009
