acidobacteria_odb12
aconoidasida_odb12
actinobacteria_class_odb12
actinobacteria_phylum_odb12
actinopterygii_odb12
agaricales_odb12
agaricomycetes_odb12
alphabaculovirus_odb12
alphaherpesvirinae_odb12
alphaproteobacteria_odb12
alteromonadales_odb12
alveolata_odb12
apicomplexa_odb12
aquificae_odb12
arachnida_odb12
archaea_odb12
arthropoda_odb12
ascomycota_odb12
aves_odb12
aviadenovirus_odb12
bacillales_odb12
bacilli_odb12
bacteria_odb12
bacteroidales_odb12
bacteroidetes-chlorobi_group_odb12
bacteroidetes_odb12
bacteroidia_odb12
baculoviridae_odb12
basidiomycota_odb12
bclasvirinae_odb12
betabaculovirus_odb12
betaherpesvirinae_odb12
betaproteobacteria_odb12
boletales_odb12
brassicales_odb12
burkholderiales_odb12
campylobacterales_odb12
capnodiales_odb12
carnivora_odb12
cellvibrionales_odb12
cetartiodactyla_odb12
chaetothyriales_odb12
cheoctovirus_odb12
chlamydiae_odb12
chlorobi_odb12
chloroflexi_odb12
chlorophyta_odb12
chordopoxvirinae_odb12
chromatiales_odb12
chroococcales_odb12
clostridia_odb12
clostridiales_odb12
coccidia_odb12
coriobacteriales_odb12
coriobacteriia_odb12
corynebacteriales_odb12
cyanobacteria_odb12
cyprinodontiformes_odb12
cytophagales_odb12
cytophagia_odb12
delta-epsilon-subdivisions_odb12
deltaproteobacteria_odb12
desulfobacterales_odb12
desulfovibrionales_odb12
desulfurococcales_odb12
desulfuromonadales_odb12
diptera_odb12
dothideomycetes_odb12
embryophyta_odb12
endopterygota_odb12
enquatrovirus_odb12
enterobacterales_odb12
entomoplasmatales_odb12
epsilonproteobacteria_odb12
euarchontoglires_odb12
eudicots_odb12
euglenozoa_odb12
eukaryota_odb12
eurotiales_odb12
eurotiomycetes_odb12
euryarchaeota_odb12
eutheria_odb12
fabales_odb12
firmicutes_odb12
flavobacteriales_odb12
flavobacteriia_odb12
fromanvirus_odb12
fungi_odb12
fusobacteria_odb12
fusobacteriales_odb12
gammaherpesvirinae_odb12
gammaproteobacteria_odb12
glires_odb12
glomerellales_odb12
guernseyvirinae_odb12
halobacteria_odb12
halobacteriales_odb12
haloferacales_odb12
helotiales_odb12
hemiptera_odb12
herpesviridae_odb12
hymenoptera_odb12
hypocreales_odb12
insecta_odb12
iridoviridae_odb12
lactobacillales_odb12
laurasiatheria_odb12
legionellales_odb12
leotiomycetes_odb12
lepidoptera_odb12
liliopsida_odb12
mammalia_odb12
metazoa_odb12
methanobacteria_odb12
methanococcales_odb12
methanomicrobia_odb12
methanomicrobiales_odb12
micrococcales_odb12
microsporidia_odb12
mollicutes_odb12
mollusca_odb12
mucorales_odb12
mucoromycota_odb12
mycoplasmatales_odb12
natrialbales_odb12
neisseriales_odb12
nematoda_odb12
nitrosomonadales_odb12
nostocales_odb12
oceanospirillales_odb12
onygenales_odb12
oscillatoriales_odb12
pahexavirus_odb12
passeriformes_odb12
pasteurellales_odb12
peduovirus_odb12
planctomycetes_odb12
plasmodium_odb12
pleosporales_odb12
poales_odb12
polyporales_odb12
poxviridae_odb12
primates_odb12
propionibacteriales_odb12
proteobacteria_odb12
pseudomonadales_odb12
rhizobiales_odb12
rhizobium-agrobacterium_group_odb12
rhodobacterales_odb12
rhodospirillales_odb12
rickettsiales_odb12
rudiviridae_odb12
saccharomycetes_odb12
sauropsida_odb12
selenomonadales_odb12
simplexvirus_odb12
skunavirus_odb12
solanales_odb12
sordariomycetes_odb12
sphingobacteriia_odb12
sphingomonadales_odb12
spirochaetales_odb12
spirochaetes_odb12
spirochaetia_odb12
spounavirinae_odb12
stramenopiles_odb12
streptomycetales_odb12
streptosporangiales_odb12
sulfolobales_odb12
synechococcales_odb12
synergistetes_odb12
tenericutes_odb12
tequatrovirus_odb12
teseptimavirus_odb12
tetrapoda_odb12
tevenvirinae_odb12
thaumarchaeota_odb12
thermoanaerobacterales_odb12
thermoplasmata_odb12
thermoproteales_odb12
thermoprotei_odb12
thermotogae_odb12
thiotrichales_odb12
tissierellales_odb12
tissierellia_odb12
tremellomycetes_odb12
tunavirinae_odb12
varicellovirus_odb12
verrucomicrobia_odb12
vertebrata_odb12
vibrionales_odb12
viridiplantae_odb12
xanthomonadales_odb12
