Run,study_accession
SRR11943876,PRJNA637713
SRR11943875,PRJNA637713
SRR11943874,PRJNA637713
SRR11943873,PRJNA637713
SRR11943872,PRJNA637713
SRR11943871,PRJNA637713
SRR11943870,PRJNA637713
SRR11943869,PRJNA637713
SRR11943868,PRJNA637713
SRR11943867,PRJNA637713
SRR11943866,PRJNA637713
SRR11943865,PRJNA637713
SRR11943864,PRJNA637713
SRR11943863,PRJNA637713
SRR11943862,PRJNA637713
SRR11943861,PRJNA637713
SRR11943860,PRJNA637713
SRR11943859,PRJNA637713
SRR11943858,PRJNA637713
SRR11943857,PRJNA637713
SRR11943856,PRJNA637713
SRR11943855,PRJNA637713
SRR11943854,PRJNA637713
SRR11943853,PRJNA637713
SRR11943852,PRJNA637713
SRR11943851,PRJNA637713
SRR11943850,PRJNA637713
SRR11943849,PRJNA637713
SRR11943848,PRJNA637713
SRR11943847,PRJNA637713
SRR11943846,PRJNA637713
SRR11943845,PRJNA637713
SRR11943844,PRJNA637713
SRR11943843,PRJNA637713
SRR11943842,PRJNA637713
SRR11943841,PRJNA637713
SRR11943840,PRJNA637713
SRR11943839,PRJNA637713
SRR11943837,PRJNA637713
SRR11943836,PRJNA637713
SRR11943835,PRJNA637713
SRR11943834,PRJNA637713
SRR11943833,PRJNA637713
SRR11943832,PRJNA637713
SRR11943831,PRJNA637713
SRR11943830,PRJNA637713
SRR11943829,PRJNA637713
SRR11943828,PRJNA637713
SRR11943805,PRJNA637713
SRR11943804,PRJNA637713
SRR11943803,PRJNA637713
SRR11943802,PRJNA637713
SRR11943801,PRJNA637713
SRR11943800,PRJNA637713
SRR11943798,PRJNA637713
SRR11943797,PRJNA637713
SRR11943796,PRJNA637713
SRR11943795,PRJNA637713
SRR11943794,PRJNA637713
SRR11943793,PRJNA637713
SRR11943792,PRJNA637713
SRR11943791,PRJNA637713
SRR11943790,PRJNA637713
SRR11943789,PRJNA637713
SRR11943787,PRJNA637713
SRR11943786,PRJNA637713
SRR11943785,PRJNA637713
SRR11943784,PRJNA637713
SRR11943783,PRJNA637713
SRR11943782,PRJNA637713
SRR11943781,PRJNA637713
SRR11943780,PRJNA637713
SRR11943779,PRJNA637713
SRR11943778,PRJNA637713
SRR11943776,PRJNA637713
SRR11943775,PRJNA637713
SRR11943774,PRJNA637713
SRR11943773,PRJNA637713
SRR11943772,PRJNA637713
SRR11943771,PRJNA637713
SRR11943770,PRJNA637713
SRR11943769,PRJNA637713
SRR11943768,PRJNA637713
SRR11943767,PRJNA637713
SRR11943765,PRJNA637713
SRR11943764,PRJNA637713
SRR11943763,PRJNA637713
SRR11943762,PRJNA637713
SRR11943761,PRJNA637713
SRR11943760,PRJNA637713
SRR11943759,PRJNA637713
SRR11943758,PRJNA637713
SRR11943757,PRJNA637713
SRR11943756,PRJNA637713
SRR13808099,PRJNA637713
SRR13808098,PRJNA637713
SRR13808097,PRJNA637713
SRR13808096,PRJNA637713
SRR13808095,PRJNA637713
SRR13808094,PRJNA637713
SRR13808092,PRJNA637713
SRR13808091,PRJNA637713
SRR13808090,PRJNA637713
SRR13808089,PRJNA637713
SRR13808063,PRJNA637713
SRR13808062,PRJNA637713
SRR13808061,PRJNA637713
SRR13808059,PRJNA637713
SRR13808058,PRJNA637713
SRR13808057,PRJNA637713
SRR13808056,PRJNA637713
SRR13808055,PRJNA637713
SRR13808054,PRJNA637713
SRR13808053,PRJNA637713
SRR13808052,PRJNA637713
SRR13808051,PRJNA637713
SRR18747048,PRJNA821340
SRR18747047,PRJNA821340
SRR18747046,PRJNA821340
SRR18747045,PRJNA821340
SRR18584250,PRJNA822292
SRR18584249,PRJNA822292
SRR18584248,PRJNA822292
SRR18584247,PRJNA822292
SRR18584246,PRJNA822292
SRR18584245,PRJNA822292
SRR18584244,PRJNA822292
SRR18584243,PRJNA822292
SRR18584242,PRJNA822292
SRR18584241,PRJNA822292
SRR18584240,PRJNA822292
SRR18584239,PRJNA822292
SRR18584238,PRJNA822292
SRR18584237,PRJNA822292
SRR18584236,PRJNA822292
SRR18584228,PRJNA822292
SRR18584226,PRJNA822292
SRR18584204,PRJNA822292
SRR18584196,PRJNA822292
SRR18584194,PRJNA822292
SRR18584193,PRJNA822292
SRR18584192,PRJNA822292
SRR18584191,PRJNA822292
SRR18584190,PRJNA822292
SRR18584189,PRJNA822292
SRR18584188,PRJNA822292
SRR18584187,PRJNA822292
SRR18584186,PRJNA822292
SRR18584185,PRJNA822292
SRR18584184,PRJNA822292
SRR18584183,PRJNA822292
SRR18584182,PRJNA822292
SRR1763106,PRJNA272662
SRR25548094,PRJNA1002596
SRR25548093,PRJNA1002596
SRR25548088,PRJNA1002596
SRR25548087,PRJNA1002596
SRR25548086,PRJNA1002596
SRR25548085,PRJNA1002596
