Run,study_accession
SRR27275922,PRJNA1054207
SRR27275921,PRJNA1054207
SRR27275920,PRJNA1054207
SRR27275919,PRJNA1054207
SRR27275918,PRJNA1054207
SRR27275917,PRJNA1054207
SRR27275916,PRJNA1054207
SRR27275915,PRJNA1054207
SRR27275908,PRJNA1054207
SRR27275907,PRJNA1054207
SRR15700008,PRJNA759858
SRR15700009,PRJNA759858
SRR15700010,PRJNA759858
SRR15700011,PRJNA759858
SRR15700012,PRJNA759858
SRR15700013,PRJNA759858
SRR24083070,PRJNA950066
SRR24083069,PRJNA950066
SRR24083068,PRJNA950066
SRR24083067,PRJNA950066
SRR24083066,PRJNA950066
SRR24083065,PRJNA950066
SRR24083064,PRJNA950066
SRR24083063,PRJNA950066
SRR24083062,PRJNA950066
SRR24083061,PRJNA950066
SRR24083060,PRJNA950066
SRR24083059,PRJNA950066
SRR24083058,PRJNA950066
SRR24083040,PRJNA950066
SRR24083039,PRJNA950066
SRR24083038,PRJNA950066
SRR24083037,PRJNA950066
SRR24083036,PRJNA950066
SRR24083035,PRJNA950066
SRR25120047,PRJNA990964
SRR25120046,PRJNA990964
SRR25120045,PRJNA990964
SRR25120044,PRJNA990964
SRR25120041,PRJNA990964
SRR25120040,PRJNA990964
SRR25120039,PRJNA990964
SRR25120038,PRJNA990964
SRR28286094,PRJNA990964
SRR28286093,PRJNA990964
SRR28286092,PRJNA990964
SRR28286091,PRJNA990964
SRR28286090,PRJNA990964
SRR28286089,PRJNA990964
SRR28286088,PRJNA990964
SRR28286087,PRJNA990964
ERR1425319,PRJEB14170
ERR1425320,PRJEB14170
ERR1425321,PRJEB14170
ERR1425322,PRJEB14170
ERR5462842,PRJEB43647
ERR5462843,PRJEB43647
ERR5462844,PRJEB43647
ERR5462845,PRJEB43647
ERR5462847,PRJEB43647
ERR5462846,PRJEB43647
SRR23689222,PRJNA940452
SRR23689221,PRJNA940452
SRR23689220,PRJNA940452
SRR23689219,PRJNA940452
SRR23689218,PRJNA940452
SRR23689217,PRJNA940452
SRR23689216,PRJNA940452
SRR23689215,PRJNA940452
SRR23689214,PRJNA940452
SRR23689213,PRJNA940452
SRR23689212,PRJNA940452
SRR23689211,PRJNA940452
SRR25180998,PRJNA940452
SRR25180997,PRJNA940452
SRR26984516,PRJNA976655
SRR26984515,PRJNA976655
SRR26984514,PRJNA976655
SRR26984513,PRJNA976655
SRR26984512,PRJNA976655
SRR26984482,PRJNA976655
SRR26984481,PRJNA976655
SRR26984480,PRJNA976655
