Run,study_accession
ERR3276516,PRJEB32121
ERR3276518,PRJEB32121
ERR3276522,PRJEB32121
ERR3276523,PRJEB32121
ERR3276525,PRJEB32121
ERR3276527,PRJEB32121
SRR5172020,PRJNA361113
SRR5315024,PRJNA361113
SRR5315025,PRJNA361113
ERR2812328,PRJEB28810
ERR2812329,PRJEB28810
ERR2812330,PRJEB28810
ERR2812334,PRJEB28810
ERR2812335,PRJEB28810
ERR2812336,PRJEB28810
ERR2812340,PRJEB28810
ERR2812341,PRJEB28810
ERR2812342,PRJEB28810
ERR2812436,PRJEB28810
ERR2812437,PRJEB28810
