Run,study_accession
ERR2603016,PRJEB26593
ERR2603017,PRJEB26593
ERR2603018,PRJEB26593
SRR11825713,PRJNA634332
SRR11825714,PRJNA634332
SRR11825717,PRJNA634332
SRR11825718,PRJNA634332
SRR11825723,PRJNA634332
SRR11825724,PRJNA634332
SRR11825727,PRJNA634332
SRR11825728,PRJNA634332
SRR11794833,PRJNA633047
SRR11794841,PRJNA633047
SRR11794843,PRJNA633047
SRR11794849,PRJNA633047
SRR11780978,PRJNA632042
SRR11780979,PRJNA632042
SRR11780980,PRJNA632042
SRR11780981,PRJNA632042
SRR12216748,PRJNA630716
SRR12216749,PRJNA630716
SRR12216750,PRJNA630716
SRR12216751,PRJNA630716
SRR12216752,PRJNA630716
SRR12216753,PRJNA630716
SRR12216754,PRJNA630716
SRR11542141,PRJNA625261
SRR11542142,PRJNA625261
SRR11542143,PRJNA625261
SRR11542144,PRJNA625261
SRR11542145,PRJNA625261
SRR11542146,PRJNA625261
SRR11542147,PRJNA625261
SRR11542148,PRJNA625261
SRR11542149,PRJNA625261
SRR11542150,PRJNA625261
SRR11542151,PRJNA625261
SRR11542152,PRJNA625261
SRR11542153,PRJNA625261
SRR11542154,PRJNA625261
SRR11542155,PRJNA625261
SRR11542156,PRJNA625261
SRR11362448,PRJNA613736
SRR11362449,PRJNA613736
SRR11362450,PRJNA613736
SRR11362451,PRJNA613736
SRR11362452,PRJNA613736
SRR11362453,PRJNA613736
SRR11362454,PRJNA613736
SRR11362455,PRJNA613736
SRR11362456,PRJNA613736
SRR11362457,PRJNA613736
SRR11362458,PRJNA613736
SRR11362459,PRJNA613736
SRR11362460,PRJNA613736
SRR11362461,PRJNA613736
SRR11362462,PRJNA613736
SRR11362463,PRJNA613736
SRR11362464,PRJNA613736
SRR11362465,PRJNA613736
SRR11362466,PRJNA613736
SRR11362467,PRJNA613736
SRR11362468,PRJNA613736
SRR11362469,PRJNA613736
SRR11362470,PRJNA613736
SRR11362471,PRJNA613736
SRR11362472,PRJNA613736
SRR11362473,PRJNA613736
SRR10970363,PRJNA603339
SRR10970365,PRJNA603339
SRR10970367,PRJNA603339
SRR10970369,PRJNA603339
SRR10970371,PRJNA603339
SRR10970373,PRJNA603339
SRR10959087,PRJNA602917
SRR10959088,PRJNA602917
SRR10959089,PRJNA602917
SRR10959090,PRJNA602917
SRR10957150,PRJNA602876
SRR10957151,PRJNA602876
SRR10957152,PRJNA602876
SRR10957153,PRJNA602876
SRR10957154,PRJNA602876
SRR10957155,PRJNA602876
SRR10957156,PRJNA602876
SRR10957157,PRJNA602876
SRR10957158,PRJNA602876
SRR10883784,PRJNA601135
SRR10883785,PRJNA601135
SRR10883786,PRJNA601135
SRR10883787,PRJNA601135
SRR10883788,PRJNA601135
SRR10883789,PRJNA601135
SRR10883790,PRJNA601135
SRR10883791,PRJNA601135
SRR10883792,PRJNA601135
SRR10883793,PRJNA601135
SRR10883794,PRJNA601135
SRR10883795,PRJNA601135
SRR10883796,PRJNA601135
SRR10883797,PRJNA601135
SRR10883798,PRJNA601135
SRR10883799,PRJNA601135
SRR10850865,PRJNA599943
SRR10850866,PRJNA599943
SRR10850867,PRJNA599943
SRR10850868,PRJNA599943
SRR10850869,PRJNA599943
SRR10850870,PRJNA599943
SRR10850871,PRJNA599943
SRR10850872,PRJNA599943
SRR10850873,PRJNA599943
SRR10850874,PRJNA599943
SRR10850875,PRJNA599943
SRR10850876,PRJNA599943
SRR10846525,PRJNA599422
SRR10846526,PRJNA599422
SRR10846527,PRJNA599422
SRR10846528,PRJNA599422
SRR10846529,PRJNA599422
SRR10846530,PRJNA599422
SRR10846531,PRJNA599422
SRR10846532,PRJNA599422
SRR10846533,PRJNA599422
SRR10846534,PRJNA599422
SRR10846535,PRJNA599422
SRR10846536,PRJNA599422
SRR10846537,PRJNA599422
SRR10846538,PRJNA599422
SRR10846539,PRJNA599422
SRR10846540,PRJNA599422
SRR10846541,PRJNA599422
SRR11569080,PRJNA593553
SRR11569081,PRJNA593553
SRR11569082,PRJNA593553
SRR11569083,PRJNA593553
SRR10530116,PRJNA591625
SRR10530117,PRJNA591625
SRR10530118,PRJNA591625
SRR10530119,PRJNA591625
SRR10530120,PRJNA591625
SRR10530121,PRJNA591625
SRR10530122,PRJNA591625
SRR10530123,PRJNA591625
SRR10530124,PRJNA591625
SRR10530125,PRJNA591625
SRR10530126,PRJNA591625
SRR10530127,PRJNA591625
SRR10530128,PRJNA591625
SRR10530129,PRJNA591625
SRR10530130,PRJNA591625
SRR10530131,PRJNA591625
SRR10530132,PRJNA591625
SRR10530133,PRJNA591625
SRR10530134,PRJNA591625
SRR10530135,PRJNA591625
SRR10530136,PRJNA591625
SRR10530137,PRJNA591625
SRR10530138,PRJNA591625
SRR10530139,PRJNA591625
SRR10530140,PRJNA591625
SRR10530141,PRJNA591625
SRR10530142,PRJNA591625
SRR10530143,PRJNA591625
SRR10530144,PRJNA591625
SRR10530145,PRJNA591625
SRR10530146,PRJNA591625
SRR10530147,PRJNA591625
SRR10530148,PRJNA591625
SRR10530149,PRJNA591625
SRR10530150,PRJNA591625
SRR10530151,PRJNA591625
SRR10530152,PRJNA591625
SRR10530153,PRJNA591625
SRR10513626,PRJNA591214
SRR10513628,PRJNA591214
SRR10513630,PRJNA591214
SRR10513632,PRJNA591214
SRR10513634,PRJNA591214
SRR10513636,PRJNA591214
SRR10441364,PRJNA589466
SRR10441365,PRJNA589466
SRR10441366,PRJNA589466
SRR10441367,PRJNA589466
SRR10441368,PRJNA589466
SRR10441369,PRJNA589466
SRR10399043,PRJNA587516
SRR10399044,PRJNA587516
SRR10399045,PRJNA587516
SRR10399046,PRJNA587516
SRR10399047,PRJNA587516
SRR10399048,PRJNA587516
SRR10322762,PRJNA578863
SRR10322763,PRJNA578863
SRR10322764,PRJNA578863
SRR10322765,PRJNA578863
SRR10322766,PRJNA578863
SRR10322767,PRJNA578863
SRR10251308,PRJNA576653
SRR10251309,PRJNA576653
SRR10251306,PRJNA576652
SRR10251307,PRJNA576652
SRR10251303,PRJNA576651
SRR10251304,PRJNA576651
SRR10251305,PRJNA576651
SRR10251299,PRJNA576650
SRR10251300,PRJNA576650
SRR10251301,PRJNA576650
SRR10251302,PRJNA576650
SRR10251273,PRJNA576649
SRR10251274,PRJNA576649
SRR10251275,PRJNA576649
SRR10251276,PRJNA576649
SRR10251277,PRJNA576649
SRR10251278,PRJNA576649
SRR10251279,PRJNA576649
SRR10251280,PRJNA576649
SRR10251281,PRJNA576649
SRR10251282,PRJNA576649
SRR10251283,PRJNA576649
SRR10251284,PRJNA576649
SRR10251285,PRJNA576649
SRR10251286,PRJNA576649
SRR10251287,PRJNA576649
SRR10251288,PRJNA576649
SRR10251289,PRJNA576649
SRR10251290,PRJNA576649
SRR10240641,PRJNA576260
SRR10240642,PRJNA576260
SRR10240643,PRJNA576260
SRR10240644,PRJNA576260
SRR10240645,PRJNA576260
SRR10240646,PRJNA576260
ERR2812346,PRJEB28810
ERR2812347,PRJEB28810
ERR2812348,PRJEB28810
ERR2812352,PRJEB28810
ERR2812353,PRJEB28810
ERR2812354,PRJEB28810
ERR2812358,PRJEB28810
ERR2812359,PRJEB28810
ERR2812360,PRJEB28810
SRR9839460,PRJNA556704
SRR9839461,PRJNA556704
SRR9839462,PRJNA556704
ERR2976734,PRJEB30076
ERR2976735,PRJEB30076
ERR2976736,PRJEB30076
ERR2976737,PRJEB30076
ERR2976738,PRJEB30076
ERR2976739,PRJEB30076
SRR9651589,PRJNA553142
SRR9651590,PRJNA553142
SRR9651591,PRJNA553142
SRR9651592,PRJNA553142
SRR9602035,PRJNA551033
SRR9602036,PRJNA551033
SRR9602037,PRJNA551033
SRR9602038,PRJNA551033
SRR9602039,PRJNA551033
SRR9602040,PRJNA551033
SRR9602041,PRJNA551033
SRR9332878,PRJNA549955
SRR9332879,PRJNA549955
SRR9332880,PRJNA549955
SRR9332881,PRJNA549955
SRR9332882,PRJNA549955
SRR9332883,PRJNA549955
SRR9300366,PRJNA548813
SRR9300367,PRJNA548813
SRR9300368,PRJNA548813
SRR9300369,PRJNA548813
SRR10382043,PRJNA548784
SRR10382044,PRJNA548784
SRR10382045,PRJNA548784
SRR10382046,PRJNA548784
SRR9295889,PRJNA548784
SRR9295890,PRJNA548784
SRR9295891,PRJNA548784
SRR9295892,PRJNA548784
SRR9295897,PRJNA548784
SRR9295898,PRJNA548784
SRR9295899,PRJNA548784
SRR9295900,PRJNA548784
SRR9295905,PRJNA548784
SRR9295906,PRJNA548784
SRR9295907,PRJNA548784
SRR9295908,PRJNA548784
SRR9165309,PRJNA545625
SRR9165310,PRJNA545625
SRR9165311,PRJNA545625
SRR9165312,PRJNA545625
SRR9165313,PRJNA545625
SRR9165314,PRJNA545625
SRR9165315,PRJNA545625
SRR9165317,PRJNA545625
SRR9165318,PRJNA545625
SRR9165319,PRJNA545625
SRR9165320,PRJNA545625
SRR9132358,PRJNA545050
SRR9132359,PRJNA545050
SRR9132360,PRJNA545050
SRR9132361,PRJNA545050
SRR9132362,PRJNA545050
SRR9132363,PRJNA545050
SRR9132364,PRJNA545050
SRR9132365,PRJNA545050
SRR9132366,PRJNA545050
SRR9132367,PRJNA545050
SRR9132368,PRJNA545050
SRR9132369,PRJNA545050
SRR9132370,PRJNA545050
SRR9132371,PRJNA545050
SRR9132372,PRJNA545050
SRR9132373,PRJNA545050
SRR9113062,PRJNA544411
SRR9113063,PRJNA544411
SRR9113064,PRJNA544411
SRR9113065,PRJNA544411
SRR9113066,PRJNA544411
SRR9113067,PRJNA544411
SRR9113068,PRJNA544411
SRR9113069,PRJNA544411
SRR9049052,PRJNA542670
SRR9049053,PRJNA542670
SRR9049054,PRJNA542670
SRR9049055,PRJNA542670
SRR9049056,PRJNA542670
SRR9049057,PRJNA542670
SRR9049058,PRJNA542670
SRR9049059,PRJNA542670
SRR9049060,PRJNA542670
SRR9049061,PRJNA542670
SRR9049062,PRJNA542670
SRR9049063,PRJNA542670
SRR9049064,PRJNA542670
SRR9049065,PRJNA542670
SRR9049066,PRJNA542670
SRR9049067,PRJNA542670
SRR9049068,PRJNA542670
SRR9049069,PRJNA542670
SRR9049070,PRJNA542670
SRR9049071,PRJNA542670
SRR9049072,PRJNA542670
SRR9049073,PRJNA542670
SRR9049074,PRJNA542670
SRR9049075,PRJNA542670
SRR9049076,PRJNA542670
SRR9049077,PRJNA542670
SRR9049078,PRJNA542670
SRR9049079,PRJNA542670
SRR9049080,PRJNA542670
SRR9049081,PRJNA542670
SRR9047186,PRJNA542601
SRR9047187,PRJNA542601
SRR9047188,PRJNA542601
SRR9047189,PRJNA542601
SRR9047199,PRJNA542601
SRR8907185,PRJNA533074
SRR8907186,PRJNA533074
SRR8907187,PRJNA533074
SRR8907188,PRJNA533074
SRR8907189,PRJNA533074
SRR8907190,PRJNA533074
SRR8907197,PRJNA533074
SRR8907198,PRJNA533074
SRR8907199,PRJNA533074
SRR8907200,PRJNA533074
SRR8907201,PRJNA533074
SRR8907202,PRJNA533074
SRR8891622,PRJNA532643
SRR8891623,PRJNA532643
SRR8891624,PRJNA532643
SRR8891625,PRJNA532643
SRR8891626,PRJNA532643
SRR8891627,PRJNA532643
SRR8891628,PRJNA532643
SRR8891629,PRJNA532643
SRR8891630,PRJNA532643
SRR8891631,PRJNA532643
SRR8891632,PRJNA532643
SRR8848243,PRJNA530968
SRR8848244,PRJNA530968
SRR8848245,PRJNA530968
SRR8752384,PRJNA528026
SRR8752385,PRJNA528026
SRR8752386,PRJNA528026
SRR8752387,PRJNA528026
SRR8752388,PRJNA528026
SRR8752389,PRJNA528026
SRR8732200,PRJNA527204
SRR8732201,PRJNA527204
SRR8732202,PRJNA527204
SRR8732203,PRJNA527204
SRR8732204,PRJNA527204
SRR8732205,PRJNA527204
SRR8732206,PRJNA527204
SRR8732207,PRJNA527204
SRR8732208,PRJNA527204
SRR8732209,PRJNA527204
SRR8732210,PRJNA527204
SRR8732211,PRJNA527204
SRR8730340,PRJNA527127
SRR8730341,PRJNA527127
SRR8730342,PRJNA527127
SRR8730343,PRJNA527127
