Scientific_name	Accession
Diachrysia_chrysitis	GCA_932294365.1
Diaphora_mendica	GCA_949125395.1
Diarsia_brunnea	GCA_949774965.1
Diarsia_dahlii	GCA_949775195.1
Diarsia_mendica	GCA_949316265.1
Diarsia_rubi	GCA_932274075.1
Diatraea_saccharalis	GCA_918026875.1
Dicycla_oo	GCA_948252095.1
Diloba_caeruleocephala	GCA_947459985.1
Diurnea_fagella	GCA_964059355.1
Drepana_falcataria	GCA_945859725.1
Dryas_iulia_moderata	GCA_019049465.1
Drymonia_ruficornis	GCA_947859195.1
Dryobota_labecula	GCA_947523025.1
Dryobotodes_eremita	GCA_917490735.1
Ecliptopera_silaceata	GCA_932527185.1
Ectropis_crepuscularia	GCA_963693475.1
Ectropis_grisescens	GCA_017562165.1
Eilema_caniola	GCA_949126895.1
Eilema_depressum	GCA_914767945.1
Eilema_griseolum	GCA_963662185.1
Eilema_sororculum	GCA_914829495.1
Electrophaes_corylata	GCA_947095575.1
Elegia_similella	GCA_947532085.1
Elophila_nymphaeata	GCA_955850985.1
Emmelina_monodactyla	GCA_916618145.1
Endotricha_flammealis	GCA_905163395.2
Ennomos_fuscantarius	GCA_905220475.3
Ennomos_quercinarius	GCA_910589525.1
Ephestia_elutella	GCA_018467065.1
Epinotia_bilunana	GCA_947049275.1
Epinotia_brunnichana	GCA_963854355.1
Epinotia_demarniana	GCA_945867215.1
Epinotia_nisella	GCA_932294315.1
Epinotia_ramella	GCA_947578815.1
Epirrhoe_tristata	GCA_951394285.1
Epirrita_christyi	GCA_951392215.1
Erannis_defoliaria	GCA_905404285.2
Erebia_aethiops	GCA_923060345.1
Erebia_epiphron	GCA_963932025.1
Erebia_ligea	GCA_917051295.2
Eremobia_ochroleuca	GCA_949629135.1
Erynnis_tages	GCA_905147235.1
Esperia_sulphurella	GCA_947086405.1
Euclidia_mi	GCA_944739405.2
Eudemis_profundana	GCA_947034925.1
Eudonia_lacustrata	GCA_947562085.1
Eudonia_mercurella	GCA_963082485.1
Eueides_isabella	GCA_019049475.1
Eugnorisma_glareosa	GCA_947578425.1
Eulithis_prunata	GCA_918843925.1
