biogroup_id,sample_count,sequencing_types,study_sources,cell_type,treatment,timepoint,is_cross_modal,is_cross_study,cap_selection_method,fractionation_method,replicate,translation_inhibitor
7977a2af,32,"Ribo-seq,RNA-seq","806948,806946",H1299,FUr,unknown,True,True,,,unknown,
3c6e71ba,32,"Ribo-seq,RNA-seq","806948,806946",H1299,G418,unknown,True,True,,,unknown,
66c4d30b,32,"Ribo-seq,RNA-seq","806948,806946",H1299,untreated,unknown,True,True,,,unknown,
8af18c87,32,RNA-seq,794846,hESC H9 (Wa-09),RNA,unknown,False,False,,,unknown,
46d379ec,32,RNA-seq,"794163,793438",Bone Osteosarcoma,unknown,unknown,False,True,,,,
54be1cc9,32,RNA-seq,779461,HCT116,unknown,unknown,False,False,,,,
d389829a,32,RNA-seq,774057,Nasopharyngeal carcinoma 5-8F cells,unknown,unknown,False,False,,,unknown,
d15a5af0,32,"Ribo-seq,RNA-seq",744888,embryonic stem (ES) cells,unknown,unknown,True,False,,unknown,,unknown
de3b0e85,32,RNA-seq,744888,mes,unknown,unknown,False,False,,,,
52f3bee0,32,RNA-seq,701951,controlling cell,neocarzinostatin (4 h),unknown,False,False,,,unknown,
1b3abbc1,32,RNA-seq,701951,controlling cell,PBS,unknown,False,False,,,unknown,
da90d0c2,32,"Ribo-seq,RNA-seq",667051,epithelial cells,Cycloheximide,unknown,True,False,,,,
fdb26d64,32,"Ribo-seq,RNA-seq",634994,neuron,control,unknown,True,False,,unknown,unknown,unknown
21d54bfb,32,"Ribo-seq,RNA-seq",477865,unknown,RNAi against unc-54 (BJA40),unknown,True,False,,unknown,unknown,unknown
206446ad,32,RNA-seq,414611,HeLa,DHX9 siRNA,unknown,False,False,,,unknown,
dbcf47a3,32,RNA-seq,414611,HeLa,DHX36 siRNA,unknown,False,False,,,unknown,
b49c2bcf,32,"Ribo-seq,RNA-seq",327113,Erythroid progenitors,unknown,unknown,True,False,,,unknown,
956060fa,32,"Ribo-seq,RNA-seq",297039,E14 ESC,unknown,unknown,True,False,,,unknown,
c4073bbf,32,"Ribo-seq,RNA-seq",295955,S2,cultured in conventional medium containing 10% heat-inactivated fetal bovine serum,unknown,True,False,,unknown,unknown,unknown
7a8ee3c4,30,RNA-seq,"1151704,1194520",bacteria,unknown,unknown,False,True,,,unknown,
b44a3273,30,"Ribo-seq,RNA-seq",385767,Acute myeloid leukemia,unknown,unknown,True,False,,unknown,,unknown
d2e567f7,28,RNA-seq,1207466,guard cell,Mock,unknown,False,False,,,,
9a54554e,28,Ribo-seq,1176138,leukemia cells,unknown,4 days,False,False,,unknown,,unknown
81723f42,28,RNA-seq,1161172,differentiated hESCs,unknown,unknown,False,False,,,unknown,
30254913,28,RNA-seq,1140141,Acute myeloid leukemia,BCAA 5+3,unknown,False,False,,,,
a3b30ef2,28,RNA-seq,982760,human embryonic kidney cells,Oxidative stress,unknown,False,False,,,,
179f1d49,28,RNA-seq,"947524,947527,947526,947523",Human cardiomyocytes,WT,unknown,False,True,,,,
2256cae1,28,RNA-seq,"947524,947527,947526,947523",Human mature neurons,WT,unknown,False,True,,,,
fdcc5c86,28,"Ribo-seq,RNA-seq","430558,756018",,,unknown,True,True,,,unknown,
6a7bc0cf,28,RNA-seq,649776,Huh7 cells,Interferon,unknown,False,False,,,,
a7b9bd9c,28,RNA-seq,600267,HEK 293T,12 h CHIKV infection,unknown,False,False,,,,
25c5cc73,28,RNA-seq,414611,HeLa,scramble siRNA,unknown,False,False,,,unknown,
55743445,26,RNA-seq,648316,that cell,unknown,unknown,False,False,,,,
16a328fa,25,RNA-seq,753526,pombe cells,unknown,unknown,False,False,,,,
c292bd3b,24,Ribo-seq,1205218,MCF7,unknown,unknown,False,False,,unknown,unknown,unknown
953af091,24,"Ribo-seq,RNA-seq",1145378,human induced neurons (hiNs) days in vitro (DIV) 14,Ngn2 overexpression,unknown,True,False,,,,
f9c5d4c1,24,RNA-seq,1136820,HEK293T human embryonic kidny cells,unknown,unknown,False,False,,,unknown,
4463a12e,24,RNA-seq,1124388,epithelial-like,unknown,unknown,False,False,,,,
d4906383,24,RNA-seq,1099202,B lymphocyte,unknown,unknown,False,False,,,unknown,
